group,serum,virus,titer,titer_bound,titer_sem,n_replicates,titer_as
EllebedyVaccineCohort,mRNA_397-017_d0,A/AbuDhabi/6753/2023_H3N2,207.3,interpolated,50.34,3,midpoint
EllebedyVaccineCohort,mRNA_397-017_d0,A/Arizona/IVYG43Q65T3/2023_H1N1,45.43,interpolated,0.227,3,midpoint
EllebedyVaccineCohort,mRNA_397-017_d0,A/Bangkok/P3599/2023_H3N2,150.5,interpolated,25.25,3,midpoint
EllebedyVaccineCohort,mRNA_397-017_d0,A/Bangkok/P3755/2023_H3N2,184.2,interpolated,37.78,3,midpoint
EllebedyVaccineCohort,mRNA_397-017_d0,A/Bhutan/0006/2023_H3N2,173.5,interpolated,21.7,2,midpoint
EllebedyVaccineCohort,mRNA_397-017_d0,A/Bhutan/0845/2023_H3N2,95.43,interpolated,24.97,3,midpoint
EllebedyVaccineCohort,mRNA_397-017_d0,A/Bhutan/FLU-BTG-00988/2022_H3N2,189.4,interpolated,18.23,3,midpoint
EllebedyVaccineCohort,mRNA_397-017_d0,A/Brisbane/02/2018_H1N1,944.9,interpolated,28.47,3,midpoint
EllebedyVaccineCohort,mRNA_397-017_d0,A/Brisbane/429/2023_H3N2,218.2,interpolated,131.9,3,midpoint
EllebedyVaccineCohort,mRNA_397-017_d0,A/BritishColumbia/RV00920/2023_H3N2,47.81,interpolated,2.989,3,midpoint
EllebedyVaccineCohort,mRNA_397-017_d0,A/Busan/1301/2023_H3N2,276.8,interpolated,39.95,3,midpoint
EllebedyVaccineCohort,mRNA_397-017_d0,A/California/07/2009_H1N1,1335,interpolated,158.2,3,midpoint
EllebedyVaccineCohort,mRNA_397-017_d0,A/California/81/2023_H3N2,158.3,interpolated,27.03,3,midpoint
EllebedyVaccineCohort,mRNA_397-017_d0,A/Cambodia/e0826360/2020_H3N2,176.4,interpolated,56.74,3,midpoint
EllebedyVaccineCohort,mRNA_397-017_d0,A/Cambodia/e0826360/2020egg_H3N2,1216,interpolated,477.8,3,midpoint
EllebedyVaccineCohort,mRNA_397-017_d0,A/Catalonia/2041146NS/2023_H3N2,122.7,interpolated,27.53,3,midpoint
EllebedyVaccineCohort,mRNA_397-017_d0,A/Catalonia/NSVH102124476/2023_H3N2,126.8,interpolated,18.56,3,midpoint
EllebedyVaccineCohort,mRNA_397-017_d0,A/Chipata/15-NIC-001/2023_H3N2,308.9,interpolated,77.12,3,midpoint
EllebedyVaccineCohort,mRNA_397-017_d0,A/Darwin/6/2021_H3N2,118.6,interpolated,33.72,3,midpoint
EllebedyVaccineCohort,mRNA_397-017_d0,A/Darwin/9/2021_H3N2,110.2,interpolated,33.36,3,midpoint
EllebedyVaccineCohort,mRNA_397-017_d0,A/DistrictOfColumbia/27/2023_H3N2,91.7,interpolated,22.31,2,midpoint
EllebedyVaccineCohort,mRNA_397-017_d0,A/EHIME/50/2023_H3N2,153.5,interpolated,15.91,3,midpoint
EllebedyVaccineCohort,mRNA_397-017_d0,A/Finland/391/2023_H3N2,254.6,interpolated,56.22,3,midpoint
EllebedyVaccineCohort,mRNA_397-017_d0,A/Finland/399/2023_H3N2,117.2,interpolated,25.72,3,midpoint
EllebedyVaccineCohort,mRNA_397-017_d0,A/Georgia/40/2023_H3N2,174.2,interpolated,23.36,3,midpoint
EllebedyVaccineCohort,mRNA_397-017_d0,A/Guangdong-Futian/1980/2023_H3N2,300.3,interpolated,19.58,3,midpoint
EllebedyVaccineCohort,mRNA_397-017_d0,A/Hawaii/70/2019_H1N1,1261,interpolated,122.7,3,midpoint
EllebedyVaccineCohort,mRNA_397-017_d0,A/HongKong/2671/2019_H3N2,3105,interpolated,793.6,3,midpoint
EllebedyVaccineCohort,mRNA_397-017_d0,A/HongKong/45/2019_H3N2,852,interpolated,30.81,3,midpoint
EllebedyVaccineCohort,mRNA_397-017_d0,A/HongKong/4801/2014_H3N2,975.6,interpolated,188.5,3,midpoint
EllebedyVaccineCohort,mRNA_397-017_d0,A/HongKong/4801/2014egg_H3N2,6601,interpolated,420.8,3,midpoint
