group,serum,virus,titer,titer_bound,titer_sem,n_replicates,titer_as
EllebedyVaccineCohort,mRNA_397-030_d0,A/AbuDhabi/6753/2023_H3N2,138,interpolated,4.632,3,midpoint
EllebedyVaccineCohort,mRNA_397-030_d0,A/Arizona/IVYG43Q65T3/2023_H1N1,230.8,interpolated,30.17,3,midpoint
EllebedyVaccineCohort,mRNA_397-030_d0,A/Bangkok/P3599/2023_H3N2,128.6,interpolated,1.886,2,midpoint
EllebedyVaccineCohort,mRNA_397-030_d0,A/Bangkok/P3755/2023_H3N2,120.8,interpolated,20.84,3,midpoint
EllebedyVaccineCohort,mRNA_397-030_d0,A/Bhutan/0006/2023_H3N2,117.5,interpolated,12.17,3,midpoint
EllebedyVaccineCohort,mRNA_397-030_d0,A/Bhutan/0845/2023_H3N2,116.4,interpolated,7.608,3,midpoint
EllebedyVaccineCohort,mRNA_397-030_d0,A/Bhutan/FLU-BTG-00988/2022_H3N2,135.8,interpolated,16.27,3,midpoint
EllebedyVaccineCohort,mRNA_397-030_d0,A/Brisbane/02/2018_H1N1,1095,interpolated,34.8,3,midpoint
EllebedyVaccineCohort,mRNA_397-030_d0,A/Brisbane/429/2023_H3N2,138.8,interpolated,28.09,2,midpoint
EllebedyVaccineCohort,mRNA_397-030_d0,A/BritishColumbia/RV00920/2023_H3N2,40,upper,1.074,3,midpoint
EllebedyVaccineCohort,mRNA_397-030_d0,A/Busan/1301/2023_H3N2,148.9,interpolated,48.52,3,midpoint
EllebedyVaccineCohort,mRNA_397-030_d0,A/California/07/2009_H1N1,2381,interpolated,88.87,3,midpoint
EllebedyVaccineCohort,mRNA_397-030_d0,A/California/81/2023_H3N2,129.7,interpolated,11.86,3,midpoint
EllebedyVaccineCohort,mRNA_397-030_d0,A/Cambodia/e0826360/2020_H3N2,75.09,interpolated,22.02,3,midpoint
EllebedyVaccineCohort,mRNA_397-030_d0,A/Cambodia/e0826360/2020egg_H3N2,582.5,interpolated,118.2,3,midpoint
EllebedyVaccineCohort,mRNA_397-030_d0,A/Catalonia/2041146NS/2023_H3N2,115.3,interpolated,12.25,3,midpoint
EllebedyVaccineCohort,mRNA_397-030_d0,A/Catalonia/NSVH102124476/2023_H3N2,103.2,interpolated,15.42,3,midpoint
EllebedyVaccineCohort,mRNA_397-030_d0,A/Chipata/15-NIC-001/2023_H3N2,118.2,interpolated,0.7203,3,midpoint
EllebedyVaccineCohort,mRNA_397-030_d0,A/Darwin/6/2021_H3N2,111,interpolated,26.88,3,midpoint
EllebedyVaccineCohort,mRNA_397-030_d0,A/Darwin/9/2021_H3N2,135.8,interpolated,13.12,3,midpoint
