group,serum,plates
EllebedyVaccineCohort,Fluarix_397-009_d0,plate1
EllebedyVaccineCohort,Fluarix_397-009_d121,plate1
EllebedyVaccineCohort,Fluarix_397-009_d29,plate1
EllebedyVaccineCohort,Fluarix_397-026_d0,plate1
EllebedyVaccineCohort,Fluarix_397-026_d181,plate1
EllebedyVaccineCohort,Fluarix_397-026_d29,plate1
EllebedyVaccineCohort,mRNA_397-010_d0,plate1
EllebedyVaccineCohort,mRNA_397-010_d121,plate1
EllebedyVaccineCohort,mRNA_397-010_d29,plate1
EllebedyVaccineCohort,mRNA_397-031_d0,plate1
EllebedyVaccineCohort,mRNA_397-031_d181,plate1
EllebedyVaccineCohort,mRNA_397-031_d29,plate1
