group,serum,virus,titer,titer_bound,titer_sem,n_replicates,titer_as
EllebedyVaccineCohort,mRNA_397-008_d181,A/AbuDhabi/6753/2023_H3N2,123.4,interpolated,56.13,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Arizona/IVYG43Q65T3/2023_H1N1,121.5,interpolated,2.09,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Bangkok/P3599/2023_H3N2,191.1,interpolated,30.86,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Bangkok/P3755/2023_H3N2,128.3,interpolated,32.39,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Bhutan/0006/2023_H3N2,184.3,interpolated,5.536,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Bhutan/0845/2023_H3N2,135.6,interpolated,9.65,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Bhutan/FLU-BTG-00988/2022_H3N2,147.7,interpolated,22.55,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Brisbane/02/2018_H1N1,3108,interpolated,395.5,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Brisbane/429/2023_H3N2,449.3,interpolated,145,2,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/BritishColumbia/RV00920/2023_H3N2,47.26,interpolated,1.908,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Busan/1301/2023_H3N2,352.4,interpolated,68.17,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/California/07/2009_H1N1,3299,interpolated,817,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/California/81/2023_H3N2,194.7,interpolated,18.43,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Cambodia/e0826360/2020_H3N2,733.2,interpolated,158.3,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Cambodia/e0826360/2020egg_H3N2,4682,interpolated,1173,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Catalonia/2041146NS/2023_H3N2,120.8,interpolated,2.396,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Catalonia/NSVH102124476/2023_H3N2,162,interpolated,19,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Chipata/15-NIC-001/2023_H3N2,134.6,interpolated,36.02,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Darwin/6/2021_H3N2,131.6,interpolated,25.38,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Darwin/9/2021_H3N2,467.5,interpolated,461.5,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/DistrictOfColumbia/27/2023_H3N2,57.29,interpolated,7.623,2,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/EHIME/50/2023_H3N2,267.9,interpolated,35.2,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Finland/391/2023_H3N2,239.8,interpolated,11.94,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Finland/399/2023_H3N2,210.3,interpolated,83.76,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Georgia/40/2023_H3N2,185.6,interpolated,29.8,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Guangdong-Futian/1980/2023_H3N2,220.1,interpolated,20.34,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Hawaii/70/2019_H1N1,3947,interpolated,53.99,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/HongKong/2671/2019_H3N2,1.73e+04,lower,0,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/HongKong/45/2019_H3N2,1737,interpolated,1139,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/HongKong/4801/2014_H3N2,3993,interpolated,1032,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/HongKong/4801/2014egg_H3N2,9490,interpolated,2623,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Jeju/1047/2023_H3N2,246.9,interpolated,69.18,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Jeonbuk/1544/2023_H1N1,106.7,interpolated,10.54,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/KANAGAWA/AC2316/2023_H3N2,309.6,interpolated,35.52,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/KANAGAWA/IC2239/2023_H3N2,309,interpolated,18.6,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Kansas/14/2017_H3N2,397.4,interpolated,55.86,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Krabi/THIS050/2023_H3N2,205.2,interpolated,52,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Lisboa/124/2024_H3N2,68.92,interpolated,5.88,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Luga/RII-11393S/2023_H3N2,230.2,interpolated,40.65,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Malaysia/IMR-SARI1989/2023_H3N2,177.3,interpolated,46.77,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Maldives/852/2023_H3N2,258.8,interpolated,37.06,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Massachusetts/18/2022_H3N2,132.3,interpolated,47.63,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Michigan/45/2015_H1N1,4046,interpolated,717.8,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Netherlands/01685/2023_H3N2,120.4,interpolated,22.82,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Netherlands/01693/2023_H3N2,255.9,interpolated,23.01,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Netherlands/01760/2023_H3N2,239.2,interpolated,16.87,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Netherlands/1739/2023_H1N1,74.13,interpolated,7.05,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Norway/7787/2023_H1N1,110.8,interpolated,16.22,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Oman/3011/2023_H3N2,170.6,interpolated,52.99,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Oman/CPHL_7248310/2024_H3N2,85.63,interpolated,70.6,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Ontario/RV00796/2023_H3N2,199.5,interpolated,29.9,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Pennsylvania/51/2023_H1N1,116.1,interpolated,4.895,2,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Romania/543634/2022_H3N2,542,interpolated,80.88,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/SENDAI/45/2023_H3N2,326.8,interpolated,8.936,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/SOUTHAFRICA/R07876/202023_H3N2,189.5,interpolated,27.75,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Saint-Petersburg/RII-166/2023_H3N2,147.5,interpolated,14.51,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/SamutSongkhram/THIS061/2023_H3N2,174.9,interpolated,49.21,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Saskatchewan/SKFLU317847/2023_H3N2,146,interpolated,10.36,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Schleswig-Holstein/4/2023_H3N2,405.8,interpolated,112.5,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Shaanxi-Yuyang/1204/2024_H3N2,99.83,interpolated,1.38,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Singapore/INFIMH-16-0019/2016X-307A_H3N2,8083,interpolated,3348,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Singapore/INFIMH-16-0019/2016_H3N2,1281,interpolated,348.7,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Solwezi/13-NIC-001/2023_H3N2,169.2,interpolated,33.23,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/SouthAfrica/K056863/2023_H3N2,219.1,interpolated,39.96,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/SouthAfrica/K056872/2023_H3N2,115.8,interpolated,16.27,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/SouthAfrica/PET28931/2023_H3N2,185.7,interpolated,15.07,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/SouthAfrica/R05384/2023_H3N2,222.1,interpolated,33.58,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/SouthAfrica/R05510/2023_H3N2,298.1,interpolated,20.63,2,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/SouthAfrica/R06240/2023_H3N2,161.5,interpolated,6.518,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/SouthAfrica/R06359/2023_H3N2,214.2,interpolated,28.64,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/SouthAfrica/R06477/2023_H3N2,105.6,interpolated,6.224,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/SouthAfrica/R06506/2023_H3N2,292.7,interpolated,30.8,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/SouthAfrica/R07073/2023_H3N2,311.4,interpolated,34.23,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/SouthAfrica/R07188/2023_H3N2,143.9,interpolated,17.53,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/SouthDakota/22/2023_H3N2,325.9,interpolated,44.2,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/SouthSudan/631/2023_H3N2,163.9,interpolated,11.2,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/SouthSudan/642/2023_H3N2,231.8,interpolated,11,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/SuratThani/P152/2023_H3N2,369.9,interpolated,23.21,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Switzerland/9715293/2013NIB-88_H3N2,1534,interpolated,423.5,2,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Switzerland/9715293/2013_H3N2,680.4,interpolated,138.1,2,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Sydney/332/2023_H3N2,228.8,interpolated,34.27,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Sydney/710/2023_H3N2,134.8,interpolated,11.17,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Sydney/715/2023_H3N2,172.3,interpolated,47.14,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Sydney/749/2023_H3N2,291.9,interpolated,60.88,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/TECPAN/017FLU/2023_H3N2,199.3,interpolated,70.77,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Texas/50/2012X-223A_H3N2,1.268e+04,interpolated,3252,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Texas/50/2012_H3N2,1.255e+04,interpolated,1446,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Thailand/8/2022_H3N2,126.8,interpolated,4.685,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Townsville/68/2023_H3N2,161.9,interpolated,14.55,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Victoria/1033/2023_H3N2,205.8,interpolated,6.584,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Victoria/1389/2023_H1N1,63.13,interpolated,4.911,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Victoria/4897/2022_IVR-238_H1N1,1259,interpolated,95.91,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Wisconsin/27/2023_H3N2,128.7,interpolated,0.1972,2,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Wisconsin/588/2019_H1N1,308.3,interpolated,8.158,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/Wisconsin/67/2022_H1N1,76.45,interpolated,8.486,3,midpoint
EllebedyVaccineCohort,mRNA_397-008_d181,A/YAMAGATA/98/2023_H3N2,341.2,interpolated,70.43,2,midpoint
