well,serum,dilution_factor,replicate,fastq
A1,Fluarix_397-009_d0,40,1,
B1,Fluarix_397-009_d0,110,1,
C1,Fluarix_397-009_d0,303,1,
D1,Fluarix_397-009_d0,832,1,
E1,Fluarix_397-009_d0,2288,1,
F1,Fluarix_397-009_d0,6291,1,
G1,Fluarix_397-009_d0,17300,1,
H1,none,,1,
A2,Fluarix_397-009_d29,40,1,
B2,Fluarix_397-009_d29,110,1,
C2,Fluarix_397-009_d29,303,1,
D2,Fluarix_397-009_d29,832,1,
E2,Fluarix_397-009_d29,2288,1,
F2,Fluarix_397-009_d29,6291,1,
G2,Fluarix_397-009_d29,17300,1,
H2,none,,2,
A3,Fluarix_397-009_d121,40,1,
B3,Fluarix_397-009_d121,110,1,
C3,Fluarix_397-009_d121,303,1,
D3,Fluarix_397-009_d121,832,1,
E3,Fluarix_397-009_d121,2288,1,
F3,Fluarix_397-009_d121,6291,1,
G3,Fluarix_397-009_d121,17300,1,
H3,none,,3,
A4,Fluarix_397-026_d0,40,1,
B4,Fluarix_397-026_d0,110,1,
C4,Fluarix_397-026_d0,303,1,
D4,Fluarix_397-026_d0,832,1,
E4,Fluarix_397-026_d0,2288,1,
F4,Fluarix_397-026_d0,6291,1,
G4,Fluarix_397-026_d0,17300,1,
H4,none,,4,
A5,Fluarix_397-026_d29,40,1,
B5,Fluarix_397-026_d29,110,1,
C5,Fluarix_397-026_d29,303,1,
D5,Fluarix_397-026_d29,832,1,
E5,Fluarix_397-026_d29,2288,1,
F5,Fluarix_397-026_d29,6291,1,
G5,Fluarix_397-026_d29,17300,1,
H5,none,,5,
A6,Fluarix_397-026_d181,40,1,
B6,Fluarix_397-026_d181,110,1,
C6,Fluarix_397-026_d181,303,1,
D6,Fluarix_397-026_d181,832,1,
E6,Fluarix_397-026_d181,2288,1,
F6,Fluarix_397-026_d181,6291,1,
G6,Fluarix_397-026_d181,17300,1,
H6,none,,6,
A7,mRNA_397-031_d0,40,1,
B7,mRNA_397-031_d0,110,1,
C7,mRNA_397-031_d0,303,1,
D7,mRNA_397-031_d0,832,1,
E7,mRNA_397-031_d0,2288,1,
F7,mRNA_397-031_d0,6291,1,
G7,mRNA_397-031_d0,17300,1,
H7,none,,7,
A8,mRNA_397-031_d29,40,1,
B8,mRNA_397-031_d29,110,1,
C8,mRNA_397-031_d29,303,1,
D8,mRNA_397-031_d29,832,1,
E8,mRNA_397-031_d29,2288,1,
F8,mRNA_397-031_d29,6291,1,
G8,mRNA_397-031_d29,17300,1,
H8,none,,8,
A9,mRNA_397-031_d181,40,1,
B9,mRNA_397-031_d181,110,1,
C9,mRNA_397-031_d181,303,1,
D9,mRNA_397-031_d181,832,1,
E9,mRNA_397-031_d181,2288,1,
F9,mRNA_397-031_d181,6291,1,
G9,mRNA_397-031_d181,17300,1,
H9,none,,9,
A10,mRNA_397-010_d0,40,1,
B10,mRNA_397-010_d0,110,1,
C10,mRNA_397-010_d0,303,1,
D10,mRNA_397-010_d0,832,1,
E10,mRNA_397-010_d0,2288,1,
F10,mRNA_397-010_d0,6291,1,
G10,mRNA_397-010_d0,17300,1,
H10,none,,10,
A11,mRNA_397-010_d29,40,1,
B11,mRNA_397-010_d29,110,1,
C11,mRNA_397-010_d29,303,1,
D11,mRNA_397-010_d29,832,1,
E11,mRNA_397-010_d29,2288,1,
F11,mRNA_397-010_d29,6291,1,
G11,mRNA_397-010_d29,17300,1,
H11,none,,11,
A12,mRNA_397-010_d121,40,1,
B12,mRNA_397-010_d121,110,1,
C12,mRNA_397-010_d121,303,1,
D12,mRNA_397-010_d121,832,1,
E12,mRNA_397-010_d121,2288,1,
F12,mRNA_397-010_d121,6291,1,
G12,mRNA_397-010_d121,17300,1,
H12,none,,12,
