group,serum,virus,titer,titer_bound,titer_sem,n_replicates,titer_as
EllebedyVaccineCohort,mRNA_397-015_d181,A/AbuDhabi/6753/2023_H3N2,132.1,interpolated,7.294,2,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Arizona/IVYG43Q65T3/2023_H1N1,287.3,interpolated,15.96,2,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Bangkok/P3599/2023_H3N2,200.4,interpolated,59.05,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Bangkok/P3755/2023_H3N2,117.5,interpolated,19.2,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Bhutan/0006/2023_H3N2,145.4,interpolated,17.07,2,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Bhutan/0845/2023_H3N2,140.9,interpolated,36.28,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Bhutan/FLU-BTG-00988/2022_H3N2,129.5,interpolated,12.95,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Brisbane/02/2018_H1N1,525.3,interpolated,22.24,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Brisbane/429/2023_H3N2,291.8,interpolated,48.74,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Busan/1301/2023_H3N2,224.2,interpolated,36.85,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/California/07/2009_H1N1,623.7,interpolated,570.8,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/California/81/2023_H3N2,242.5,interpolated,33.78,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Cambodia/e0826360/2020_H3N2,182.1,interpolated,,1,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Cambodia/e0826360/2020egg_H3N2,2070,interpolated,514.9,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Catalonia/2041146NS/2023_H3N2,136.6,interpolated,,1,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Catalonia/NSVH102124476/2023_H3N2,128.6,interpolated,8.308,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Chipata/15-NIC-001/2023_H3N2,155.1,interpolated,22.2,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Darwin/6/2021_H3N2,131.4,interpolated,67.1,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Darwin/9/2021_H3N2,283.8,interpolated,19.53,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/EHIME/50/2023_H3N2,164.8,interpolated,24.71,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Finland/391/2023_H3N2,181.2,interpolated,74.61,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Finland/399/2023_H3N2,162.1,interpolated,,1,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Georgia/40/2023_H3N2,125.9,interpolated,4.164,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Guangdong-Futian/1980/2023_H3N2,244.3,interpolated,28.61,2,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Hawaii/70/2019_H1N1,293.5,interpolated,92,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/HongKong/2671/2019_H3N2,575.2,interpolated,,1,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/HongKong/4801/2014_H3N2,163.1,interpolated,58.28,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/HongKong/4801/2014egg_H3N2,2489,interpolated,75.16,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Jeju/1047/2023_H3N2,269.9,interpolated,11,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Jeonbuk/1544/2023_H1N1,239.8,interpolated,,1,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/KANAGAWA/AC2316/2023_H3N2,241.3,interpolated,21,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/KANAGAWA/IC2239/2023_H3N2,227.5,interpolated,36.96,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Kansas/14/2017_H3N2,609,interpolated,139.1,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Krabi/THIS050/2023_H3N2,140.4,interpolated,37.76,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Luga/RII-11393S/2023_H3N2,135.4,interpolated,16.44,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Malaysia/IMR-SARI1989/2023_H3N2,195.8,interpolated,56.33,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Maldives/852/2023_H3N2,207.6,interpolated,62.85,2,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Massachusetts/18/2022_H3N2,192.6,interpolated,36.26,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Michigan/45/2015_H1N1,1250,interpolated,308.9,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Netherlands/01685/2023_H3N2,153.6,interpolated,24.58,2,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Netherlands/01693/2023_H3N2,186,interpolated,12.79,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Netherlands/01760/2023_H3N2,153.5,interpolated,,1,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Netherlands/1739/2023_H1N1,149.6,interpolated,,1,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Norway/7787/2023_H1N1,176.2,interpolated,27.31,2,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Oman/3011/2023_H3N2,144.3,interpolated,71.76,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Oman/CPHL_7248310/2024_H3N2,100.9,interpolated,44.7,2,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Ontario/RV00796/2023_H3N2,130.4,interpolated,25.62,3,midpoint
EllebedyVaccineCohort,mRNA_397-015_d181,A/Pennsylvania/51/2023_H1N1,191.4,interpolated,24.27,2,midpoint
